org,repo,url,number,author,created_at,merged_at,changed_files,commits,additions,deletions,reviews,time_of_first_review,reviewers,hours_open,hours_to_first_review,minutes_to_first_review
tumblr,collins,https://github.com/tumblr/collins/pull/1,1,DanSimon,2012-08-20T22:20:49Z,2012-09-19T19:45:11Z,39,48,849,302,0,,,717.41,0,0
tumblr,collins,https://github.com/tumblr/collins/pull/10,10,DanSimon,2012-09-05T17:34:02Z,2012-09-06T11:09:33Z,4,1,13,2,0,,,17.59,0,0
tumblr,collins,https://github.com/tumblr/collins/pull/36,36,bmatheny,2012-09-09T21:19:45Z,2012-09-09T21:19:51Z,67,1,12456,2349,0,,,0,0,0
tumblr,collins,https://github.com/tumblr/collins/pull/38,38,DanSimon,2012-09-10T22:56:46Z,2012-09-11T15:13:52Z,1,1,3,1,0,,,16.29,0,0
tumblr,collins,https://github.com/tumblr/collins/pull/42,42,DanSimon,2012-09-17T15:22:33Z,2012-09-19T14:03:33Z,17,19,388,55,0,,,46.68,0,0
tumblr,collins,https://github.com/tumblr/collins/pull/51,51,DanSimon,2012-09-27T21:23:20Z,2012-09-27T21:25:07Z,28,5,327,337,0,,,0.03,0,0
tumblr,collins,https://github.com/tumblr/collins/pull/54,54,DanSimon,2012-10-09T16:03:41Z,2012-10-11T14:24:36Z,8,10,198,136,0,,,46.35,0,0
tumblr,collins,https://github.com/tumblr/collins/pull/57,57,DanSimon,2012-11-01T18:42:37Z,2012-11-19T22:51:47Z,71,16,1511,655,0,,,436.15,0,0
tumblr,collins,https://github.com/tumblr/collins/pull/63,63,discordianfish,2012-11-21T13:28:21Z,2012-11-27T21:31:03Z,3,1,1530,1,0,,,152.05,0,0
tumblr,collins,https://github.com/tumblr/collins/pull/64,64,DanSimon,2013-01-02T22:46:48Z,2013-01-07T22:00:47Z,1,1,9,1,0,,,119.23,0,0
tumblr,collins,https://github.com/tumblr/collins/pull/69,69,cburroughs,2013-02-13T21:06:18Z,2013-02-13T21:07:09Z,1,1,1,1,0,,,0.01,0,0
tumblr,collins,https://github.com/tumblr/collins/pull/70,70,cburroughs,2013-02-23T00:24:37Z,2013-02-23T18:04:40Z,5,2,1260,9,0,,,17.67,0,0
tumblr,collins,https://github.com/tumblr/collins/pull/76,76,cburroughs,2013-03-15T11:39:55Z,2013-03-15T13:47:39Z,5,2,138,0,0,,,2.13,0,0
tumblr,collins,https://github.com/tumblr/collins/pull/77,77,cburroughs,2013-03-18T14:40:03Z,2013-04-09T15:28:08Z,12,10,174,12,0,,,528.8,0,0
