org,repo,url,number,author,created_at,merged_at,changed_files,commits,additions,deletions,reviews,time_of_first_review,reviewers,hours_open,hours_to_first_review,minutes_to_first_review
tumblr,colossus,https://github.com/tumblr/colossus/pull/5,5,DanSimon,2014-11-12T20:01:24Z,2014-11-13T15:13:25Z,7,1,91,15,0,,,19.2,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/7,7,DanSimon,2014-11-14T18:55:31Z,2014-11-14T19:52:50Z,7,1,32,7,0,,,0.96,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/21,21,DanSimon,2014-11-19T22:11:15Z,2014-11-20T17:03:40Z,13,3,183,188,0,,,18.87,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/22,22,nsauro,2014-11-20T16:07:07Z,2014-11-20T19:32:28Z,8,6,211,101,0,,,3.42,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/25,25,DanSimon,2014-11-21T16:56:01Z,2014-11-21T21:02:29Z,19,1,438,179,0,,,4.11,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/26,26,nsauro,2014-11-21T20:20:18Z,2014-11-21T21:13:59Z,5,5,126,71,0,,,0.89,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/27,27,DanSimon,2014-11-21T21:23:21Z,2014-11-21T21:49:12Z,2,1,12,1,0,,,0.43,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/28,28,nsauro,2014-11-24T15:30:59Z,2014-11-24T17:39:57Z,4,1,298,254,0,,,2.15,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/30,30,DanSimon,2014-11-24T20:41:17Z,2014-11-24T21:54:47Z,1,1,3,1,0,,,1.23,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/31,31,DanSimon,2014-11-24T22:23:37Z,2014-11-25T16:51:12Z,7,1,171,61,0,,,18.46,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/32,32,nsauro,2014-11-24T22:30:08Z,2014-11-25T16:45:44Z,7,1,100,60,0,,,18.26,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/35,35,DanSimon,2014-12-02T15:52:03Z,2014-12-02T19:30:36Z,3,1,14,5,0,,,3.64,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/36,36,DanSimon,2014-12-02T19:27:38Z,2014-12-02T23:34:06Z,8,2,91,23,0,,,4.11,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/38,38,DanSimon,2014-12-02T19:58:04Z,2014-12-02T20:21:26Z,1,1,2,2,0,,,0.39,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/40,40,DanSimon,2014-12-09T22:01:09Z,2014-12-10T16:49:00Z,3,1,142,29,0,,,18.8,0,0
tumblr,colossus,https://github.com/tumblr/colossus/pull/41,41,nsauro,2014-12-10T15:52:04Z,2014-12-10T16:49:41Z,5,1,22,22,0,,,0.96,0,0
