org,repo,url,number,author,created_at,merged_at,changed_files,commits,additions,deletions,reviews,time_of_first_review,reviewers,hours_open,hours_to_first_review,minutes_to_first_review
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/5,5,lboyette-okta,2016-04-28T20:16:24Z,2016-04-28T21:06:55Z,3,1,29,16,0,,,0.84,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/6,6,lboyette-okta,2016-04-28T23:26:11Z,2016-04-28T23:46:39Z,1,1,1,1,0,,,0.34,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/7,7,lboyette-okta,2016-05-10T21:16:10Z,2016-05-11T23:22:09Z,21,1,283,537,0,,,26.1,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/8,8,lboyette-okta,2016-05-11T23:28:09Z,2016-05-12T17:09:30Z,2,1,10,1,0,,,17.69,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/9,9,lboyette-okta,2016-05-13T22:45:41Z,2016-05-16T21:50:25Z,4,1,212,237,0,,,71.08,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/10,10,lboyette-okta,2016-05-16T21:55:18Z,2016-05-19T19:45:05Z,7,2,194,163,0,,,69.83,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/11,11,lboyette-okta,2016-05-19T19:55:57Z,2016-05-19T20:56:19Z,5,1,295,279,0,,,1.01,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/12,12,lboyette-okta,2016-05-19T21:23:25Z,2016-05-19T21:45:48Z,5,1,500,488,0,,,0.37,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/13,13,lboyette-okta,2016-05-19T22:25:38Z,2016-05-20T23:43:39Z,25,4,78,121,0,,,25.3,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/14,14,lboyette-okta,2016-05-23T21:42:50Z,2016-05-25T00:03:03Z,22,1,747,15,0,,,26.34,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/16,16,lboyette-okta,2016-05-25T00:06:12Z,2016-05-25T18:32:57Z,6,1,66,68,0,,,18.45,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/17,17,lboyette-okta,2016-05-25T21:37:37Z,2016-05-26T22:18:16Z,11,1,156,142,0,,,24.68,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/18,18,lboyette-okta,2016-06-03T19:50:42Z,2016-06-06T21:32:35Z,2,1,45,43,0,,,73.7,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/19,19,lboyette-okta,2016-06-03T20:53:31Z,2016-06-06T20:45:04Z,1,1,1,2,0,,,71.86,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/20,20,lboyette-okta,2016-06-06T22:13:39Z,2016-06-08T19:28:14Z,1,1,1,1,0,,,45.24,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/21,21,lboyette-okta,2016-06-21T21:35:24Z,2016-06-22T18:21:39Z,3,1,63,2,0,,,20.77,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/23,23,rchild-okta,2016-06-24T23:12:00Z,2016-06-24T23:18:30Z,2,1,12,11,0,,,0.11,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/24,24,haishengwu-okta,2016-06-28T05:09:07Z,2016-06-29T19:03:52Z,1,1,2,0,0,,,37.91,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/25,25,lboyette-okta,2016-07-06T20:15:39Z,2016-07-07T20:12:25Z,11,2,62,52,0,,,23.95,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/26,26,lboyette-okta,2016-07-11T23:24:04Z,2016-07-13T18:14:02Z,5,4,73,31,0,,,42.83,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/27,27,lboyette-okta,2016-07-13T21:11:49Z,2016-07-14T00:37:33Z,7,1,264,195,0,,,3.43,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/28,28,lboyette-okta,2016-07-14T20:12:44Z,2016-07-20T21:19:58Z,5,4,461,167,0,,,145.12,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/29,29,lboyette-okta,2016-07-18T23:38:48Z,2016-07-19T04:23:32Z,1,1,10,0,0,,,4.75,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/30,30,lboyette-okta,2016-07-20T21:32:22Z,2016-07-21T23:17:48Z,11,6,891,344,0,,,25.76,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/31,31,lboyette-okta,2016-07-25T18:27:03Z,2016-07-26T20:45:22Z,9,2,312,20,0,,,26.31,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/32,32,lboyette-okta,2016-07-25T21:56:00Z,2016-07-26T00:04:42Z,11,3,108,37,0,,,2.15,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/33,33,lboyette-okta,2016-07-26T00:47:07Z,2016-07-26T01:03:26Z,6,1,7,6,0,,,0.27,0,0
okta,okta-auth-js,https://github.com/okta/okta-auth-js/pull/34,34,lboyette-okta,2016-07-26T17:41:17Z,2016-07-26T20:16:17Z,6,2,94,6,0,,,2.58,0,0
