org,repo,url,number,author,created_at,merged_at,base_branch,head_branch,changed_files,commits,additions,deletions,reviews,time_of_1st_review,reviewers,hrs_open,hrs_to_1st_review,mins_to_1st_review
"okta","okta-cli","https://github.com/okta/okta-cli/pull/2",2,"mraible","2019-09-01T04:07:12Z","2019-09-03T15:46:55Z","master","semantic-versioning",1,1,1,1,1,"2019-09-03T15:46:50Z","bdemers",59.66,59.66,3579.63
"okta","okta-cli","https://github.com/okta/okta-cli/pull/5",5,"mraible","2019-10-11T19:32:06Z","2019-10-11T21:53:59Z","master","mraible-oidcuser",1,1,4,4,1,"2019-10-11T21:53:19Z","bdemers",2.36,2.35,141.22
"okta","okta-cli","https://github.com/okta/okta-cli/pull/6",6,"bdemers","2019-10-14T14:48:45Z","2020-01-29T15:59:26Z","master","bump-jackson-1",1,1,1,1,1,"2020-01-10T22:59:25Z","mraible",2569.18,2120.18,127210.67
"okta","okta-cli","https://github.com/okta/okta-cli/pull/7",7,"bdemers","2019-10-22T16:11:32Z","2019-10-22T16:12:11Z","master","jackson-2-10",1,1,1,1,0,"","",0.01,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/8",8,"bdemers","2020-01-23T23:50:53Z","2020-01-29T15:20:04Z","master","add-dep-goal",20,2,867,3,1,"2020-01-24T22:47:13Z","mraible",135.49,22.94,1376.33
"okta","okta-cli","https://github.com/okta/okta-cli/pull/9",9,"bdemers","2020-01-29T15:25:27Z","2020-01-29T15:37:32Z","master","no-pom-and-demo",3,2,72,1,0,"","",0.2,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/10",10,"bdemers","2020-01-29T15:54:46Z","2020-01-29T15:59:37Z","master","remove-unused-deps",1,1,4,0,0,"","",0.08,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/15",15,"bdemers","2020-05-01T19:52:18Z","2020-05-05T14:56:36Z","master","github-actions",6,1,75,30,0,"","",91.07,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/18",18,"bdemers","2020-06-02T18:58:45Z","2020-06-09T15:56:17Z","cli","update-install-script",1,2,75,47,0,"","",164.96,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/19",19,"bdemers","2020-06-09T19:33:53Z","2020-06-09T21:32:09Z","master","cli-final",141,3,9159,1164,0,"","",1.97,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/20",20,"bdemers","2020-06-10T20:01:44Z","2020-06-10T20:23:32Z","master","stablize-timing-test",1,1,2,4,0,"","",0.36,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/21",21,"bdemers","2020-06-23T14:37:12Z","2020-07-23T13:11:57Z","master","win-install-readme",1,1,9,1,1,"2020-06-23T18:31:16Z","mraible",718.58,3.9,234.07
"okta","okta-cli","https://github.com/okta/okta-cli/pull/22",22,"bdemers","2020-06-26T16:20:51Z","2020-09-16T00:40:39Z","master","add-logs-cmd",4,2,261,16,0,"","",1952.33,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/26",26,"dogeared","2020-08-06T17:34:29Z","2020-08-06T20:16:30Z","master","update-reg-flow",44,15,1299,345,0,"","",2.7,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/27",27,"bdemers","2020-08-07T13:43:39Z","2020-08-07T16:32:00Z","master","shell-script-install-040",1,1,1,1,0,"","",2.81,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/28",28,"bdemers","2020-08-12T15:52:59Z","2020-08-24T14:55:08Z","master","extract-maven-plugin",47,1,9,2707,0,"","",287.04,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/31",31,"bdemers","2020-08-24T18:48:15Z","2020-09-15T23:26:07Z","master","okta-start-cmd",37,12,1549,100,0,"","",532.63,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/32",32,"bdemers","2020-08-24T21:37:23Z","2020-09-11T20:57:23Z","master","better-prompts",13,2,160,37,0,"","",431.33,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/34",34,"bdemers","2020-08-27T22:44:44Z","2020-09-11T20:57:38Z","master","graalvm-2020",5,3,51,5,0,"","",358.22,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/38",38,"bdemers","2020-09-18T20:43:21Z","2020-09-21T17:45:38Z","master","trusted-origins",11,2,1726,262,0,"","",69.04,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/39",39,"bdemers","2020-09-21T17:52:27Z","2020-09-28T15:49:27Z","master","post-logout",22,6,460,76,0,"","",165.95,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/40",40,"bdemers","2020-09-21T19:29:47Z","2020-09-23T20:47:43Z","post-logout","sample-config-with-context",7,2,167,31,0,"","",49.3,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/41",41,"bdemers","2020-09-21T19:31:15Z","2020-09-22T17:38:09Z","master","test-timeout",1,1,10,2,0,"","",22.12,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/42",42,"bdemers","2020-09-22T17:37:41Z","2020-09-22T18:04:31Z","post-logout","post-logout-apps-create",4,1,131,13,0,"","",0.45,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/44",44,"bdemers","2020-09-30T15:52:04Z","2021-01-28T21:49:04Z","master","apps-delete",8,2,362,14,4,"2021-01-28T21:41:19Z","arvindkrishnakumar-okta,bdemers",2885.95,2885.82,173149.25
"okta","okta-cli","https://github.com/okta/okta-cli/pull/45",45,"bdemers","2020-10-01T16:06:14Z","2020-10-01T19:29:48Z","master","base-command",9,1,120,87,0,"","",3.39,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/46",46,"bdemers","2020-10-02T16:50:17Z","2020-10-02T21:40:05Z","master","merge-rest-client",6,1,36,21,0,"","",4.83,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/50",50,"bdemers","2020-10-05T19:45:18Z","2020-10-05T20:30:05Z","master","apps-create-cors",2,1,27,5,0,"","",0.75,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/53",53,"bdemers","2020-10-22T21:08:14Z","2020-11-11T18:18:18Z","master","empty-logout-uri",2,1,77,6,0,"","",477.17,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/58",58,"bdemers","2020-11-09T15:21:53Z","2020-11-11T18:17:47Z","master","windows-its",15,10,154,127,1,"2020-11-11T18:14:09Z","arvindkrishnakumar-okta",50.93,50.87,3052.27
"okta","okta-cli","https://github.com/okta/okta-cli/pull/64",64,"bdemers","2020-11-19T16:24:14Z","2020-11-20T17:56:13Z","master","npe-props",2,1,34,2,1,"2020-11-20T00:15:31Z","arvindkrishnakumar-okta",25.53,7.85,471.28
"okta","okta-cli","https://github.com/okta/okta-cli/pull/65",65,"bdemers","2020-11-19T21:08:58Z","2020-11-20T16:36:30Z","master","jhipster-fixes",9,2,141,44,2,"2020-11-19T22:48:00Z","mraible,arvindkrishnakumar-okta",19.46,1.65,99.03
"okta","okta-cli","https://github.com/okta/okta-cli/pull/66",66,"bdemers","2020-11-19T21:31:45Z","2020-11-20T16:36:52Z","master","graalvm-20-3",3,2,15,8,1,"2020-11-20T00:14:35Z","arvindkrishnakumar-okta",19.09,2.71,162.83
"okta","okta-cli","https://github.com/okta/okta-cli/pull/67",67,"bdemers","2020-11-20T18:18:05Z","2020-11-20T19:14:56Z","master","increase-ci-timeout",1,1,1,0,0,"","",0.95,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/73",73,"bdemers","2020-12-22T19:03:30Z","2021-01-14T16:32:35Z","master","samples-use-main",1,1,1,1,1,"2020-12-22T19:07:19Z","mraible",549.48,0.06,3.82
"okta","okta-cli","https://github.com/okta/okta-cli/pull/76",76,"bdemers","2021-01-27T19:35:27Z","2021-01-28T21:49:24Z","master","issue-75",3,1,98,29,2,"2021-01-27T20:34:46Z","mraible,arvindkrishnakumar-okta",26.23,0.99,59.32
"okta","okta-cli","https://github.com/okta/okta-cli/pull/78",78,"bdemers","2021-02-03T22:51:32Z","2021-02-05T22:13:11Z","master","trim-login-input",3,1,28,1,1,"2021-02-05T16:03:13Z","arvindkrishnakumar-okta",47.36,41.19,2471.68
"okta","okta-cli","https://github.com/okta/okta-cli/pull/79",79,"bdemers","2021-02-05T22:15:24Z","2021-02-08T22:13:56Z","master","feat/70-quarkus-support",8,5,276,82,1,"2021-02-08T20:40:15Z","arvindkrishnakumar-okta",71.98,70.41,4224.85
"okta","okta-cli","https://github.com/okta/okta-cli/pull/80",80,"bdemers","2021-02-09T16:14:59Z","2021-02-09T22:33:06Z","master","props-order",3,1,47,5,1,"2021-02-09T22:31:17Z","arvindkrishnakumar-okta",6.3,6.27,376.3
"okta","okta-cli","https://github.com/okta/okta-cli/pull/81",81,"arvindkrishnakumar-okta","2021-02-09T21:19:34Z","2021-02-09T21:41:45Z","master","update_readme_with_install_native_image_command",1,1,2,0,1,"2021-02-09T21:20:03Z","bdemers",0.37,0.01,0.48
"okta","okta-cli","https://github.com/okta/okta-cli/pull/82",82,"bdemers","2021-02-09T22:32:50Z","2021-03-05T20:37:51Z","master","jhipster-detect",16,23,585,68,4,"2021-02-09T22:33:57Z","bdemers,mraible,danielpetisme",574.08,0.02,1.12
"okta","okta-cli","https://github.com/okta/okta-cli/pull/83",83,"mraible","2021-02-10T01:45:29Z","2021-02-11T15:37:39Z","jhipster-detect","jhipster-micronaut",2,2,73,6,2,"2021-02-10T02:18:49Z","bdemers,mraible",37.87,0.56,33.33
"okta","okta-cli","https://github.com/okta/okta-cli/pull/84",84,"mraible","2021-02-13T01:24:10Z","2021-02-16T16:42:27Z","master","patch-1",1,1,5,5,1,"2021-02-16T16:42:19Z","bdemers",87.3,87.3,5238.15
"okta","okta-cli","https://github.com/okta/okta-cli/pull/85",85,"mraible","2021-03-01T15:48:03Z","2021-03-02T15:34:55Z","jhipster-detect","jhipster-quarkus-app-type-fix",4,12,12,7,1,"2021-03-02T15:34:51Z","bdemers",23.78,23.78,1426.8
"okta","okta-cli","https://github.com/okta/okta-cli/pull/86",86,"mraible","2021-03-03T16:17:03Z","2021-03-06T21:42:31Z","master","dependabot",1,4,30,0,1,"2021-03-03T16:17:53Z","bdemers",77.42,0.01,0.83
"okta","okta-cli","https://github.com/okta/okta-cli/pull/87",87,"bdemers","2021-03-03T20:07:57Z","2021-03-03T20:46:06Z","master","actions-full-hash",1,1,3,3,0,"","",0.64,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/91",91,"bdemers","2021-03-05T19:27:32Z","2021-03-05T20:00:59Z","master","window-ci-2016",1,1,2,2,0,"","",0.56,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/92",92,"bdemers","2021-03-05T21:01:39Z","2021-03-05T23:21:47Z","master","update-svm",3,1,7,7,0,"","",2.34,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/93",93,"dependabot","2021-03-06T21:42:50Z","2021-03-26T20:53:08Z","master","dependabot/github_actions/actions/upload-artifact-v2.2.2",1,1,2,2,0,"","",479.17,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/97",97,"dependabot","2021-03-06T21:42:58Z","2021-03-26T22:31:29Z","master","dependabot/maven/org.apache.maven.plugins-maven-failsafe-plugin-3.0.0-M5",1,1,1,1,0,"","",480.81,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/102",102,"dependabot","2021-03-06T21:43:02Z","2021-03-26T22:30:52Z","master","dependabot/maven/org.testng-testng-7.4.0",1,1,1,1,0,"","",480.8,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/103",103,"dependabot","2021-03-06T21:43:03Z","2021-03-26T21:07:51Z","master","dependabot/maven/org.projectlombok-lombok-1.18.18",1,1,1,1,0,"","",479.41,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/105",105,"dependabot","2021-03-06T21:43:06Z","2021-03-26T21:07:38Z","master","dependabot/maven/org.mockito-mockito-core-3.8.0",2,1,2,2,0,"","",479.41,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/107",107,"dependabot","2021-03-06T21:43:06Z","2021-03-26T20:54:58Z","master","dependabot/maven/com.github.tomakehurst-wiremock-standalone-2.27.2",1,1,1,1,0,"","",479.2,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/109",109,"mraible","2021-03-07T01:05:00Z","2021-03-07T23:03:55Z","master","patch-2",1,1,15,4,1,"2021-03-07T02:25:43Z","bdemers",21.98,1.35,80.72
"okta","okta-cli","https://github.com/okta/okta-cli/pull/112",112,"mraible","2021-03-10T17:03:34Z","2021-03-24T15:10:36Z","master","spa-command",2,2,115,11,1,"2021-03-11T20:57:23Z","bdemers",334.12,27.9,1673.82
"okta","okta-cli","https://github.com/okta/okta-cli/pull/115",115,"dependabot","2021-03-17T07:25:03Z","2021-03-26T22:31:12Z","master","dependabot/maven/pl.project13.maven-git-commit-id-plugin-4.0.4",1,1,1,1,0,"","",231.1,0,0
"okta","okta-cli","https://github.com/okta/okta-cli/pull/116",116,"dependabot","2021-03-17T07:45:24Z","2021-03-26T20:55:27Z","master","dependabot/github_actions/DeLaGuardo/setup-graalvm-4.0",1,1,2,2,0,"","",229.17,0,0
