org,repo,url,number,author,created_at,merged_at,changed_files,commits,additions,deletions,reviews,time_of_first_review,reviewers,hours_open,hours_to_first_review,minutes_to_first_review
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/1",1,"joelfranusic-okta","2015-01-17T00:28:18Z","2015-02-23T23:49:10Z",5,6,80,7,0,"",[],911.35,0,0
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/2",2,"dbrownx","2015-01-23T22:15:04Z","2015-01-23T23:02:43Z",4,1,29,2,0,"",[],0.79,0,0
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/3",3,"Rus7am","2015-02-26T20:02:23Z","2015-02-28T00:56:40Z",2,1,8,4,0,"",[],28.9,0,0
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/8",8,"cbarbara-okta","2015-11-20T21:23:47Z","2015-11-20T21:24:06Z",14,1,215,3,0,"",[],0.01,0,0
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/9",9,"marksztainbok-okta","2016-02-11T20:25:18Z","2016-02-16T22:24:01Z",86,1,1310,1620,0,"",[],121.98,0,0
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/16",16,"raphaellondner-okta","2016-11-22T00:05:02Z","2016-12-12T18:48:27Z",26,6,1182,279,5,"2016-11-29T00:53:51Z",[["marksztainbok-okta","raphaellondner-okta"]],498.72,168.81,10128.82
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/17",17,"raphaellondner-okta","2016-12-12T22:27:36Z","2016-12-13T23:46:48Z",13,2,115,79,4,"2016-12-12T22:49:02Z",[["rchild-okta","raphaellondner-okta"]],25.32,0.36,21.43
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/18",18,"raphaellondner-okta","2016-12-13T00:36:25Z","2017-01-11T18:48:12Z",14,6,246,54,14,"2016-12-14T18:50:23Z",[["marksztainbok-okta","raphaellondner-okta","rchild-okta","yiyangli-okta"]],714.2,42.23,2533.97
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/20",20,"raphaellondner-okta","2017-01-04T21:05:55Z","2017-01-13T22:58:43Z",22,13,507,91,5,"2017-01-06T05:25:05Z",[["rchild-okta","raphaellondner-okta"]],217.88,32.32,1939.17
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/25",25,"lboyette-okta","2017-02-22T23:11:02Z","2017-03-01T21:57:43Z",2,1,10,57,1,"2017-02-23T01:36:27Z",[["rchild-okta"]],166.78,2.42,145.42
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/26",26,"johngronberg-okta","2017-03-02T01:16:05Z","2017-03-03T19:09:43Z",1,1,1,1,1,"2017-03-02T01:33:12Z",[["jmelberg-okta"]],41.89,0.29,17.12
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/27",27,"bdemers","2017-03-03T01:00:18Z","2017-03-03T19:12:34Z",5,1,274,24,1,"2017-03-03T19:12:10Z",[["jmelberg-okta"]],18.2,18.2,1091.87
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/28",28,"jmelberg-okta","2017-03-13T18:18:08Z","2017-03-13T22:02:03Z",1,1,5,0,1,"2017-03-13T21:00:53Z",[["lboyette-okta"]],3.73,2.71,162.75
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/29",29,"jmelberg-okta","2017-03-13T22:17:40Z","2017-03-15T21:05:15Z",1,3,177,1,4,"2017-03-13T22:24:45Z",[["joelfranusic-okta","lboyette-okta"]],46.79,0.12,7.08
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/31",31,"jmelberg-okta","2017-03-27T21:13:14Z","2017-03-29T21:12:41Z",1,1,1,1,2,"2017-03-27T23:31:34Z",[["nbarbettini","lboyette-okta"]],47.99,2.31,138.33
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/36",36,"jmelberg-okta","2017-04-12T23:04:49Z","2017-04-17T20:29:17Z",1,1,18,6,6,"2017-04-12T23:53:37Z",[["lboyette-okta","nbarbettini"]],117.41,0.81,48.8
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/37",37,"nbarbettini","2017-04-17T22:26:13Z","2017-04-17T22:51:58Z",1,1,5,5,1,"2017-04-17T22:49:45Z",[["lboyette-okta"]],0.43,0.39,23.53
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/38",38,"nbarbettini","2017-04-17T23:14:19Z","2017-04-17T23:24:22Z",1,1,13,0,1,"2017-04-17T23:18:48Z",[["jmelberg-okta"]],0.17,0.07,4.48
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/58",58,"nbarbettini","2017-06-13T22:11:22Z","2017-06-17T01:43:10Z",235,4,4689,11845,6,"2017-06-16T21:32:16Z",[["jmelberg-okta","nbarbettini"]],75.53,71.35,4280.9
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/60",60,"nbarbettini","2017-06-17T01:45:30Z","2017-06-22T00:43:52Z",68,1,2914,72,2,"2017-06-21T23:34:39Z",[["jmelberg-okta","nbarbettini"]],118.97,117.82,7069.15
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/66",66,"nbarbettini","2017-06-22T01:06:35Z","2017-06-22T18:51:54Z",1,1,831,0,1,"2017-06-22T18:51:21Z",[["rchild-okta"]],17.76,17.75,1064.77
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/67",67,"nbarbettini","2017-06-22T18:04:56Z","2017-06-22T20:28:05Z",7,1,145,82,2,"2017-06-22T19:08:44Z",[["jmelberg-okta","nbarbettini"]],2.39,1.06,63.8
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/74",74,"nbarbettini","2017-06-27T20:27:48Z","2017-06-27T21:48:52Z",14,1,260,97,1,"2017-06-27T21:46:53Z",[["leebrandt"]],1.35,1.32,79.08
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/76",76,"nbarbettini","2017-06-27T21:52:47Z","2017-06-27T22:23:03Z",89,1,944,110,3,"2017-06-27T22:10:44Z",[["jmelberg-okta","nbarbettini"]],0.5,0.3,17.95
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/95",95,"nbarbettini","2017-06-27T23:18:47Z","2017-06-30T18:40:48Z",15,1,87,93,3,"2017-06-30T18:15:42Z",[["jmelberg-okta","leebrandt","nbarbettini"]],67.37,66.95,4016.92
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/96",96,"nbarbettini","2017-06-28T23:28:16Z","2017-06-29T14:38:29Z",23,2,604,22,1,"2017-06-29T14:35:05Z",[["leebrandt"]],15.17,15.11,906.82
"okta","okta-sdk-dotnet","https://github.com/okta/okta-sdk-dotnet/pull/98",98,"nbarbettini","2017-06-30T20:05:37Z","2017-07-05T20:54:39Z",32,2,541,196,1,"2017-07-05T19:53:48Z",[["leebrandt"]],120.82,119.8,7188.18
