org,repo,url,number,author,created_at,merged_at,base_branch,head_branch,changed_files,commits,additions,deletions,reviews,time_of_1st_review,reviewers,hrs_open,hrs_to_1st_review,mins_to_1st_review
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/3",3,"lboyette-okta","2015-05-28T19:46:23Z","2015-05-28T19:47:33Z","master","59586-AppInstanceSerialization",7,1,120,13,0,"","",0.02,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/4",4,"hrishikeshsathe-okta","2015-06-04T20:29:46Z","2015-06-04T22:10:34Z","master","OKTA-60284-Hrishikesh-AddDocumentation",2,2,74,5,0,"","",1.68,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/5",5,"hrishikeshsathe-okta","2015-06-30T23:21:59Z","2015-06-30T23:27:32Z","master","OKTA-62394-hrishikesh-AddMethodToGetGroupsForUser",1,1,22,0,0,"","",0.09,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/7",7,"irasekh3","2015-07-06T15:29:33Z","2015-07-06T22:53:09Z","master","AddMethodToCancelAuthTransaction",1,1,8,0,0,"","",7.39,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/12",12,"tthompson-okta","2016-01-08T00:54:13Z","2016-01-08T17:56:12Z","master","OKTA-77233",1,1,0,23,0,"","",17.03,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/18",18,"michaelpage","2016-03-24T20:21:25Z","2017-10-09T15:58:09Z","legacy","master",1,1,12,6,0,"","",13531.61,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/23",23,"ashishgupta-okta","2016-04-22T02:06:17Z","2016-04-22T20:01:14Z","master","AG-OKTA-86647-Intermittent-API-Call-Failures-in-SDK",2,1,9,9,0,"","",17.92,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/28",28,"brianzuzga-okta","2016-05-27T18:00:30Z","2017-01-30T18:39:09Z","master","bz-add-groupid-on-create-user",1,1,25,0,1,"2017-01-30T18:37:45Z","lboyette-okta",5952.64,5952.62,357157.25
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/32",32,"gabrielsroka","2016-08-01T23:29:11Z","2016-11-18T22:38:34Z","master","patch-2",1,1,12,3,0,"","",2615.16,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/36",36,"lboyette-okta","2016-11-30T00:21:36Z","2016-12-02T00:26:15Z","master","lb-108270-maven-central",1,1,74,3,0,"","",48.08,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/37",37,"lboyette-okta","2016-11-30T22:03:44Z","2016-11-30T22:56:38Z","master","lb-109037-oss-standards",93,1,1903,11,0,"","",0.88,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/39",39,"AlainODea","2016-12-15T19:23:45Z","2017-01-10T00:25:24Z","master","ao-automatic-proxy-detection",1,1,18,1,7,"2017-01-06T17:28:10Z","yuliu-okta,AlainODea",605.03,526.07,31564.42
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/40",40,"lboyette-okta","2017-01-07T00:53:20Z","2017-01-09T16:29:19Z","master","lb-108271-appuser",2,1,373,0,1,"2017-01-07T02:01:48Z","rchild-okta",63.6,1.14,68.47
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/41",41,"lboyette-okta","2017-01-09T02:07:28Z","2017-01-09T16:29:34Z","master","lb-111921-add-missing",10,1,412,5,1,"2017-01-09T03:21:24Z","rchild-okta",14.37,1.23,73.93
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/42",42,"lboyette-okta","2017-01-09T23:26:23Z","2017-01-10T00:21:19Z","master","lb-106319-factorType-forgotPassword",1,1,12,0,3,"2017-01-09T23:29:07Z","ravikanodia-okta,lboyette-okta,rchild-okta",0.92,0.05,2.73
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/43",43,"lboyette-okta","2017-01-11T23:00:57Z","2017-01-19T23:39:57Z","master","lb-110258-DNS-cache",1,1,9,4,2,"2017-01-12T18:05:02Z","ravikanodia-okta,rchild-okta",192.65,19.07,1144.08
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/44",44,"AlainODea","2017-01-12T19:04:59Z","2017-01-30T22:25:25Z","master","ao-testfix-fail-without-utc",1,1,7,6,1,"2017-01-30T22:25:03Z","jmelberg-okta",435.34,435.33,26120.07
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/47",47,"lboyette-okta","2017-01-23T23:11:03Z","2017-01-24T00:02:13Z","master","lb-113911-partial-user-updates",1,1,25,2,1,"2017-01-23T23:51:53Z","alexma-okta",0.85,0.68,40.83
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/50",50,"AlainODea","2017-01-30T14:19:02Z","2017-02-02T17:40:35Z","master","ao-cope-with-unknown-JSON-properties",1,1,5,3,1,"2017-02-02T17:37:56Z","lboyette-okta",75.36,75.32,4518.9
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/52",52,"jmelberg-okta","2017-01-31T20:17:48Z","2017-01-31T20:55:38Z","master","jm-OKTA-114777-update-app-missing-fields",3,1,31,24,1,"2017-01-31T20:52:46Z","lboyette-okta",0.63,0.58,34.97
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/53",53,"jmelberg-okta","2017-02-01T19:31:06Z","2017-02-01T23:05:51Z","master","jm-OKTA-114358-allow-custom-headers",2,2,27,0,2,"2017-02-01T19:37:30Z","lboyette-okta",3.58,0.11,6.4
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/56",56,"lboyette-okta","2017-02-25T01:31:45Z","2017-03-03T21:46:59Z","master","lb-OKTA-115453-UserApiClientTest-generator",21,2,917,3,3,"2017-02-25T01:37:37Z","lboyette-okta,jmelberg-okta,rchild-okta",164.25,0.1,5.87
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/58",58,"halestock","2017-03-02T18:49:39Z","2017-03-08T17:32:43Z","master","hs-authresult-static-fields",1,1,11,11,0,"","",142.72,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/59",59,"dogeared","2017-03-06T03:40:32Z","2017-03-08T17:29:38Z","master","readme_update",1,1,7,7,0,"","",61.82,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/60",60,"lboyette-okta","2017-03-06T17:33:03Z","2017-03-08T23:53:43Z","master","lb-116369-usergroup-api-tests",51,2,1789,212,6,"2017-03-07T00:23:33Z","jmelberg-okta,magizh-okta,lboyette-okta",54.34,6.84,410.5
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/61",61,"jmelberg-okta","2017-03-15T20:50:10Z","2017-03-30T22:39:10Z","master","jm-OKTA-119593-update-readme",1,1,96,28,1,"2017-03-29T22:30:02Z","sohaibajmal-okta",361.82,337.66,20259.87
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/62",62,"jmelberg-okta","2017-03-22T00:03:28Z","2017-03-30T18:25:34Z","master","jm-OKTA-120254-javadoc",92,1,4740,1109,1,"2017-03-30T16:49:54Z","bdemers",210.37,208.77,12526.43
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/67",67,"bdemers","2017-05-05T00:57:45Z","2017-05-18T21:34:37Z","new-deal","new-deal",415,54,19614,9993,0,"","",332.61,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/71",71,"bdemers","2017-05-19T15:41:22Z","2017-05-19T17:00:21Z","new-deal","travis-test",1,2,4,3,0,"","",1.32,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/72",72,"nikolaystoilov-okta","2017-05-23T14:06:39Z","2017-06-01T21:41:52Z","legacy","nikolay-add-activation-token-authentication",2,1,38,2,0,"","",223.59,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/73",73,"bdemers","2017-05-24T15:24:02Z","2017-05-24T15:25:46Z","new-deal","build-cleanup",3,1,89,2,0,"","",0.03,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/74",74,"bdemers","2017-06-01T16:36:49Z","2017-06-01T18:03:24Z","master","new-master",407,85,45859,3596,0,"","",1.44,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/75",75,"bdemers","2017-06-01T19:33:37Z","2017-06-01T19:41:38Z","master","fix-master-merge",92,1,0,13807,0,"","",0.13,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/76",76,"bdemers","2017-06-01T19:48:16Z","2017-06-01T21:11:01Z","master","update-config-standard",10,1,48,48,0,"","",1.38,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/77",77,"bdemers","2017-06-01T21:21:18Z","2017-06-01T21:24:31Z","master","add-dep-scan",9,2,237,12,0,"","",0.05,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/78",78,"bdemers","2017-06-01T21:41:05Z","2017-06-01T21:44:52Z","master","x-okta-extensible",3,1,6,12,0,"","",0.06,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/79",79,"bdemers","2017-06-02T06:44:31Z","2017-06-02T13:11:58Z","master","static-analysis",59,2,291,533,0,"","",6.46,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/80",80,"bdemers","2017-06-02T19:14:54Z","2017-06-02T20:39:39Z","master","tags-to-packages",23,1,183,41,0,"","",1.41,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/81",81,"bdemers","2017-06-02T19:20:42Z","2017-06-02T20:40:03Z","master","update-notice",24,2,237,51,0,"","",1.32,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/83",83,"bdemers","2017-06-02T20:39:04Z","2017-06-03T01:41:07Z","master","white-list",10,1,921,8708,0,"","",5.03,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/85",85,"bdemers","2017-06-05T16:04:55Z","2017-06-05T16:31:24Z","master","update-doc",4,1,209,64,0,"","",0.44,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/86",86,"bdemers","2017-06-05T16:36:12Z","2017-06-05T16:40:12Z","master","add-group-member-rule-it",3,1,94,2,0,"","",0.07,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/87",87,"bdemers","2017-06-05T17:45:14Z","2017-06-05T20:11:34Z","master","correct-java-doc",3,1,22,47,0,"","",2.44,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/88",88,"bdemers","2017-06-05T21:09:52Z","2017-06-05T21:14:29Z","master","pub-javadocs",2,1,44,0,0,"","",0.08,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/89",89,"bdemers","2017-06-05T22:02:34Z","2017-06-06T14:30:14Z","master","javadocs-ga",1,1,11,0,0,"","",16.46,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/91",91,"bdemers","2017-06-06T21:39:15Z","2017-06-07T15:20:08Z","master","resource-list-packages",11,5,220,57,0,"","",17.68,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/92",92,"bdemers","2017-06-07T15:22:17Z","2017-06-07T18:57:57Z","master","update-release-tag",1,1,5,1,0,"","",3.59,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/93",93,"bdemers","2017-06-07T19:00:00Z","2017-06-07T19:40:12Z","master","update-release-scripts",2,1,48,6,0,"","",0.67,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/94",94,"bdemers","2017-06-08T15:24:24Z","2017-06-08T15:30:07Z","master","client-config-updates",6,2,6,5,0,"","",0.1,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/95",95,"bdemers","2017-06-12T20:07:31Z","2017-06-14T18:50:09Z","master","update-api-spec-enums",14,5,540,607,0,"","",46.71,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/96",96,"bdemers","2017-06-14T20:56:47Z","2017-06-15T16:15:49Z","master","pin-java-version",2,2,16,4,0,"","",19.32,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/99",99,"bdemers","2017-06-22T21:05:09Z","2017-06-23T15:02:39Z","master","update-spec-0.3.0",5,1,45,90,0,"","",17.96,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/100",100,"bdemers","2017-06-23T17:34:17Z","2017-06-23T18:29:14Z","master","instance-method",17,3,30,25,0,"","",0.92,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/103",103,"bdemers","2017-06-23T22:22:04Z","2017-06-26T21:05:18Z","master","spec-tests",6,2,312,1,0,"","",70.72,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/105",105,"bdemers","2017-06-30T20:55:57Z","2017-07-05T16:31:45Z","master","test-server",20,14,1095,71,0,"","",115.6,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/107",107,"bdemers","2017-07-05T19:20:50Z","2017-07-05T19:27:10Z","master","cache-test",2,1,12,6,0,"","",0.11,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/109",109,"bdemers","2017-07-10T22:36:37Z","2017-11-10T20:10:13Z","gh-pages","wrap-docs-versions",4,9,91,0,11,"2017-11-09T18:37:01Z","jmelberg-okta,bdemers,robertjd",2949.56,2924.01,175440.4
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/114",114,"bdemers","2017-08-01T20:16:17Z","2017-08-01T20:16:27Z","master","new-parent",1,1,12,550,0,"","",0,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/118",118,"bdemers","2017-09-06T00:42:42Z","2017-10-09T15:33:25Z","master","move-secrets",1,1,0,8,0,"","",806.85,0,0
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/119",119,"bdemers","2017-10-17T17:54:12Z","2017-11-06T18:16:37Z","master","add-factors-api",69,13,2299,2532,18,"2017-10-24T14:48:48Z","bdemers,jmelberg-okta,vijetmahabaleshwar-okta",480.37,164.91,9894.6
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/120",120,"bdemers","2017-10-17T18:27:13Z","2017-10-24T14:21:23Z","master","error-headers",9,1,56,5,1,"2017-10-20T02:55:24Z","mraible",163.9,56.47,3388.18
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/124",124,"bdemers","2017-11-06T22:48:36Z","2017-11-06T23:14:22Z","master","find-target-dir",1,1,3,2,1,"2017-11-06T22:50:28Z","jmelberg-okta",0.43,0.03,1.87
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/126",126,"bdemers","2017-11-09T16:09:09Z","2017-11-09T17:04:01Z","master","enum-converter",6,3,167,3,2,"2017-11-09T16:38:36Z","jmelberg-okta,bdemers",0.91,0.49,29.45
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/127",127,"bdemers","2017-11-10T22:35:52Z","2017-11-13T14:28:20Z","master","codacy-config",1,1,36,0,1,"2017-11-10T23:26:52Z","jmelberg-okta",63.87,0.85,51
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/129",129,"bdemers","2017-11-28T21:59:44Z","2017-12-01T19:50:56Z","master","apps-api",34,16,4057,768,11,"2017-11-30T20:32:29Z","bdemers,vijetmahabaleshwar-okta",69.85,46.55,2792.75
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/132",132,"bdemers","2017-12-01T19:52:24Z","2017-12-01T22:11:14Z","master","minor-bug-fixes",17,4,729,829,10,"2017-12-01T20:43:01Z","vijetmahabaleshwar-okta,bdemers",2.31,0.84,50.62
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/133",133,"bdemers","2017-12-04T22:41:25Z","2017-12-11T15:38:12Z","master","sessions-api",22,2,920,34,7,"2017-12-06T19:04:39Z","vijetmahabaleshwar-okta,bdemers,bretterer",160.95,44.39,2663.23
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/136",136,"bdemers","2017-12-11T17:11:08Z","2017-12-11T18:12:45Z","master","after-sessions",18,4,252,30,1,"2017-12-11T17:51:57Z","bretterer",1.03,0.68,40.82
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/137",137,"bdemers","2017-12-11T18:20:32Z","2017-12-12T15:28:41Z","master","issue-115",7,2,63,8,3,"2017-12-11T23:38:39Z","lboyette-okta,bdemers",21.14,5.3,318.12
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/138",138,"bdemers","2017-12-11T18:28:07Z","2017-12-11T19:31:57Z","master","issue-113",2,2,5,8,4,"2017-12-11T18:30:00Z","jmelberg-okta,bdemers",1.06,0.03,1.88
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/139",139,"bdemers","2017-12-11T18:46:24Z","2017-12-11T20:06:48Z","master","issue-135",2,1,16,9,1,"2017-12-11T18:47:05Z","bretterer",1.34,0.01,0.68
"okta","okta-sdk-java","https://github.com/okta/okta-sdk-java/pull/140",140,"bdemers","2017-12-12T15:39:06Z","2017-12-12T16:54:56Z","master","logs-api",5,2,11202,5,1,"2017-12-12T15:42:58Z","bretterer",1.26,0.06,3.87
