org,repo,url,number,author,created_at,merged_at,base_branch,head_branch,changed_files,commits,additions,deletions,reviews,time_of_1st_review,reviewers,hrs_open,hrs_to_1st_review,mins_to_1st_review
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/1",1,"robertjd","2017-06-01T22:40:04Z","2017-06-08T23:27:55Z","master","0.1.0-for-review",59,1,3486,1,10,"2017-06-02T01:32:49Z","rchild-okta,lboyette-okta,robertjd",168.8,2.88,172.75
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/4",4,"robertdamphousse-okta","2017-06-10T00:20:49Z","2017-06-16T18:07:21Z","master","user-agent-tests",2,1,36,1,1,"2017-06-14T18:10:54Z","lboyette-okta",161.78,113.83,6830.08
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/5",5,"vijetmahabaleshwar-okta","2017-06-13T03:32:27Z","2017-06-26T22:53:24Z","master","vm-OKTA-128082",27,6,1127,248,46,"2017-06-13T17:39:16Z","rchild-okta,vijetmahabaleshwar-okta,robertjd,bdemers,lboyette-okta,nbarbettini",331.35,14.11,846.82
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/6",6,"robertjd","2017-06-14T16:19:45Z","2017-06-16T18:00:02Z","master","3rd-party-notices",1,1,105,0,1,"2017-06-14T18:32:42Z","lboyette-okta",49.67,2.22,132.95
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/7",7,"robertjd","2017-06-16T18:42:31Z","2017-06-16T21:51:26Z","master","openapi-0.2.0",47,1,492,498,1,"2017-06-16T20:47:46Z","lboyette-okta",3.15,2.09,125.25
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/9",9,"robertjd","2017-06-16T21:59:20Z","2017-06-16T22:58:27Z","master","fix-deps",1,1,1,1,1,"2017-06-16T22:51:16Z","rchild-okta",0.99,0.87,51.93
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/13",13,"robertjd","2017-06-27T17:41:42Z","2017-06-27T18:05:10Z","master","rd-content-type-templates",2,1,23,3,1,"2017-06-27T17:42:37Z","vijetmahabaleshwar-okta",0.39,0.02,0.92
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/14",14,"jmelberg-okta","2017-06-27T18:48:52Z","2017-06-27T20:06:03Z","master","jm-OKTA-130582-fix-yaml-format",3,1,13,5,1,"2017-06-27T20:04:47Z","bretterer",1.29,1.27,75.92
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/16",16,"jmelberg-okta","2017-06-27T20:14:58Z","2017-06-27T20:24:04Z","master","jm-readme-update",1,1,4,3,1,"2017-06-27T20:15:53Z","bretterer",0.15,0.02,0.92
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/17",17,"vijetmahabaleshwar-okta","2017-06-27T20:20:00Z","2017-07-07T16:19:06Z","master","vm-test-fixes",18,3,96,69,14,"2017-06-27T23:57:53Z","jmelberg-okta,vijetmahabaleshwar-okta,robertjd",235.99,3.63,217.88
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/18",18,"jmelberg-okta","2017-06-29T20:54:40Z","2017-06-30T20:31:09Z","master","jm-docs",37,3,387,5,1,"2017-06-30T20:30:20Z","robertjd",23.61,23.59,1415.67
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/19",19,"jmelberg-okta","2017-06-30T03:11:09Z","2017-07-12T15:35:02Z","master","jm-test-travis",3,12,89,6,1,"2017-07-12T15:20:40Z","robertjd",300.4,300.16,18009.52
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/20",20,"robertjd","2017-07-07T23:39:49Z","2017-07-07T23:47:56Z","master","build-scripts",1,1,15,0,1,"2017-07-07T23:45:13Z","lboyette-okta",0.14,0.09,5.4
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/21",21,"jmelberg-okta","2017-07-13T21:22:55Z","2017-07-14T20:08:46Z","master","jm-fix-script",2,1,13,3,1,"2017-07-14T20:08:32Z","robertjd",22.76,22.76,1365.62
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/23",23,"jmelberg-okta","2017-07-17T15:50:27Z","2017-07-25T20:27:10Z","master","jm-travis-fix",2,4,19,32,2,"2017-07-25T16:17:58Z","robertjd",196.61,192.46,11547.52
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/24",24,"jmelberg-okta","2017-07-17T17:59:20Z","2017-07-25T16:16:30Z","master","jm-update-ignore",2,1,1,1,1,"2017-07-25T16:16:24Z","robertjd",190.29,190.28,11417.07
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/25",25,"robertjd","2017-10-09T23:05:48Z","2017-10-12T18:23:09Z","master","factors-api",52,1,5086,83,3,"2017-10-10T18:26:45Z","lboyette-okta,robertjd",67.29,19.35,1160.95
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/26",26,"robertjd","2017-10-16T20:36:01Z","2017-10-16T20:38:41Z","master","update-package",1,1,1,4,1,"2017-10-16T20:37:05Z","lboyette-okta",0.04,0.02,1.07
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/27",27,"robertjd","2017-11-21T22:04:29Z","2017-12-01T21:18:09Z","master","apps-api",164,11,5686,356,8,"2017-11-21T22:14:50Z","lboyette-okta,vijetmahabaleshwar-okta,robertjd",239.23,0.17,10.35
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/31",31,"lboyette-okta","2017-11-29T18:01:14Z","2017-12-01T23:22:13Z","master","lb-sessions",17,8,597,8,1,"2017-12-01T23:20:15Z","robertjd",53.35,53.32,3199.02
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/33",33,"robertjd","2017-11-30T18:29:09Z","2017-11-30T18:34:51Z","master","fix-resource-enumerable",2,1,13,2,1,"2017-11-30T18:32:57Z","lboyette-okta",0.1,0.06,3.8
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/35",35,"robertjd","2018-01-25T00:19:41Z","2018-01-31T01:56:06Z","master","update-license-year",137,2,137,137,1,"2018-01-25T18:15:50Z","lboyette-okta",145.61,17.94,1076.15
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/37",37,"robertjd","2018-01-25T23:06:35Z","2018-01-26T17:07:30Z","master","fix-collection-pagination",2,1,75,1,1,"2018-01-25T23:38:31Z","lboyette-okta",18.02,0.53,31.93
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/39",39,"robertjd","2018-01-26T17:28:30Z","2018-02-05T16:41:42Z","master","logs-api",37,9,1183,44,2,"2018-01-26T18:52:52Z","lboyette-okta",239.22,1.41,84.37
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/40",40,"lboyette-okta","2018-01-31T02:34:30Z","2018-02-03T00:51:45Z","master","cache",14,5,783,93,3,"2018-02-02T19:17:33Z","robertjd",70.29,64.72,3883.05
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/41",41,"robertjd","2018-02-05T17:39:46Z","2018-02-05T17:50:37Z","master","1.0.0",2,2,28,1,1,"2018-02-05T17:40:14Z","lboyette-okta",0.18,0.01,0.47
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/42",42,"lboyette-okta","2018-02-05T18:13:02Z","2018-02-05T18:17:49Z","master","remove-alpha",1,1,0,4,1,"2018-02-05T18:17:43Z","robertjd",0.08,0.08,4.68
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/44",44,"robertjd","2018-03-07T21:48:15Z","2018-03-08T18:22:53Z","master","rd-jsdoc-methods",11,4,312,4,1,"2018-03-07T22:25:51Z","jmelberg-okta",20.58,0.63,37.6
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/51",51,"vijetmahabaleshwar-okta","2018-04-19T22:16:35Z","2018-07-16T22:34:18Z","master","vm-cron-job",37,8,86,213,12,"2018-04-20T16:05:09Z","jmelberg-okta,vijetmahabaleshwar-okta,robertjd",2112.3,17.81,1068.57
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/53",53,"robertjd","2018-05-11T15:26:12Z","2018-05-11T15:36:13Z","master","rd-jsdocs-fix",1,1,4,0,1,"2018-05-11T15:28:00Z","bdemers",0.17,0.03,1.8
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/58",58,"robertjd","2018-06-22T15:33:30Z","2018-07-20T20:42:33Z","master","rd-OKTA-163086-request-executor",17,15,6762,788,42,"2018-06-22T16:29:39Z","jmelberg-okta,bdemers,robertjd,rchild-okta",677.15,0.94,56.15
"okta","okta-sdk-nodejs","https://github.com/okta/okta-sdk-nodejs/pull/61",61,"robertjd","2018-07-20T21:41:57Z","2018-07-20T21:44:35Z","master","rd-rev-1.2.0",1,1,1,1,1,"2018-07-20T21:42:21Z","jgao-okta",0.04,0.01,0.4
