org,repo,url,number,author,created_at,merged_at,changed_files,commits,additions,deletions,reviews,time_of_first_review,reviewers,hours_open,hours_to_first_review,minutes_to_first_review
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/1",1,"joelfranusic-okta","2015-06-16T18:35:43Z","2017-01-30T18:49:20Z",1,1,35,21,1,"2017-01-13T22:54:43Z",[["jmelberg-okta"]],14256.23,13852.32,831139
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/2",2,"flyinprogrammer","2015-06-30T22:19:08Z","2017-01-30T21:36:31Z",1,1,11,0,1,"2017-01-30T21:35:43Z",[["jmelberg-okta"]],13919.29,13919.28,835156.58
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/21",21,"jmelberg-okta","2017-01-18T23:41:09Z","2017-01-20T22:13:52Z",3,2,21,21,2,"2017-01-20T21:51:22Z",[["lboyette-okta"]],46.55,46.17,2770.22
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/25",25,"jmelberg-okta","2017-02-27T21:53:54Z","2017-03-01T21:44:17Z",1,1,32,4,2,"2017-02-28T00:45:04Z",[["lboyette-okta"]],47.84,2.85,171.17
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/27",27,"jmelberg-okta","2017-02-28T22:15:48Z","2017-03-01T21:40:13Z",2,2,14,3,2,"2017-02-28T22:28:56Z",[["lboyette-okta"]],23.41,0.22,13.13
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/32",32,"jmelberg-okta","2017-03-02T20:07:20Z","2017-03-04T01:11:10Z",58,2,2339,171,2,"2017-03-03T00:06:47Z",[["lboyette-okta"]],29.06,3.99,239.45
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/33",33,"danieldelhoyo","2017-03-08T09:27:25Z","2017-03-27T21:39:52Z",4,1,84,0,1,"2017-03-27T18:04:48Z",[["jmelberg-okta"]],468.21,464.62,27877.38
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/39",39,"jmelberg-okta","2017-03-11T01:07:39Z","2017-03-13T23:34:24Z",17,3,131,33,4,"2017-03-13T16:37:11Z",[["lboyette-okta"]],70.45,63.49,3809.53
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/40",40,"nicolastrres","2017-03-28T17:20:56Z","2017-03-31T20:36:12Z",1,1,2,2,1,"2017-03-30T20:28:17Z",[["jmelberg-okta"]],75.25,51.12,3067.35
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/48",48,"bretterer","2017-08-08T18:52:08Z","2017-08-08T19:02:36Z",1,1,1,1,1,"2017-08-08T19:01:59Z",[["jmelberg-okta"]],0.17,0.16,9.85
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/67",67,"robertjd","2018-05-14T23:17:14Z","2018-06-19T17:20:45Z",2,1,9,3,1,"2018-06-12T17:32:48Z",[["nbarbettini"]],858.06,690.26,41415.57
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/68",68,"nbarbettini","2018-06-19T17:23:50Z","2018-06-19T17:23:59Z",1,1,0,0,0,"",[],0,0,0
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/72",72,"CoreySmithRing","2019-04-09T23:26:14Z","2019-04-10T01:09:32Z",1,1,2,2,0,"",[],1.72,0,0
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/82",82,"justinabrokwah-okta","2020-05-15T17:37:24Z","2020-05-21T15:53:00Z",12,9,591,0,6,"2020-05-19T13:36:30Z",[["bretterer","justinabrokwah-okta"]],142.26,91.99,5519.1
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/83",83,"justinabrokwah-okta","2020-05-29T18:19:08Z","2020-06-03T21:02:07Z",27,16,1802,2,1,"2020-06-03T18:42:03Z",[["bretterer"]],122.72,120.38,7222.92
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/84",84,"justinabrokwah-okta","2020-06-09T13:45:05Z","2020-06-11T18:31:51Z",15,13,804,142,4,"2020-06-10T20:00:44Z",[["vijetmahabaleshwar-okta","justinabrokwah-okta","bretterer"]],52.78,30.26,1815.65
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/85",85,"justinabrokwah-okta","2020-06-18T15:32:29Z","2020-06-19T13:44:59Z",10,7,503,234,1,"2020-06-18T21:27:02Z",[["bretterer"]],22.21,5.91,354.55
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/86",86,"justinabrokwah-okta","2020-06-26T14:55:47Z","2020-07-06T21:21:44Z",340,16,23435,3,1,"2020-07-06T20:32:16Z",[["bretterer"]],246.43,245.61,14736.48
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/87",87,"justinabrokwah-okta","2020-07-10T14:38:58Z","2020-07-15T20:21:55Z",26,6,1780,1293,1,"2020-07-15T16:35:24Z",[["bretterer"]],125.72,121.94,7316.43
"okta","okta-sdk-python","https://github.com/okta/okta-sdk-python/pull/88",88,"justinabrokwah-okta","2020-07-20T20:27:50Z","2020-07-23T20:23:18Z",369,11,16293,1366,0,"",[],71.92,0,0
