org,repo,url,number,author,created_at,merged_at,changed_files,commits,additions,deletions,reviews,time_of_first_review,reviewers,hours_open,hours_to_first_review,minutes_to_first_review
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/1,1,bdemers,2017-08-07T16:18:36Z,2017-08-08T17:26:59Z,30,12,1621,2,15,2017-08-07T16:20:22Z,"mraible,bdemers",25.14,0.03,1.77
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/2,2,bdemers,2017-08-08T20:05:40Z,2017-08-08T20:28:19Z,2,2,37,1,0,,,0.38,0,0
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/3,3,bdemers,2017-08-10T21:40:23Z,2017-08-10T22:03:21Z,4,1,29,5,1,2017-08-10T21:43:05Z,"mraible",0.38,0.05,2.7
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/4,4,bdemers,2017-08-11T14:38:32Z,2017-08-11T14:48:45Z,3,1,31,4,1,2017-08-11T14:39:42Z,"bretterer",0.17,0.02,1.17
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/5,5,bdemers,2017-08-22T15:50:46Z,2017-08-23T15:58:15Z,1,3,71,23,4,2017-08-22T19:00:14Z,"mraible,bdemers",24.12,3.16,189.47
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/8,8,bdemers,2017-09-29T01:09:50Z,2017-10-04T22:39:01Z,16,2,678,57,1,2017-09-29T20:22:30Z,"wdawson",141.49,19.21,1152.67
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/11,11,bdemers,2017-10-04T23:01:54Z,2017-10-05T15:16:47Z,11,2,558,14,4,2017-10-04T23:58:41Z,"mraible,bdemers",16.25,0.95,56.78
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/12,12,bdemers,2017-10-04T23:03:02Z,2017-10-05T15:28:15Z,43,9,2007,147,1,2017-10-04T23:51:44Z,"mraible",16.42,0.81,48.7
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/13,13,bdemers,2017-10-05T15:32:17Z,2017-10-05T15:48:45Z,73,15,4483,209,0,,,0.27,0,0
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/14,14,bdemers,2017-10-12T18:58:26Z,2017-10-13T17:05:26Z,3,1,2,56,1,2017-10-12T19:00:29Z,"mraible",22.12,0.03,2.05
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/16,16,bdemers,2017-10-16T21:40:55Z,2017-12-22T18:13:32Z,24,7,895,21,1,2017-11-20T14:49:30Z,"dogeared",1604.54,833.14,49988.58
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/18,18,bdemers,2017-10-20T17:18:40Z,2017-10-20T20:17:39Z,4,3,24,6,6,2017-10-20T18:09:17Z,"vijetmahabaleshwar-okta,mraible,bdemers",2.98,0.84,50.62
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/28,28,bdemers,2017-11-17T20:46:21Z,2017-11-28T19:38:33Z,25,26,340,1341,1,2017-11-20T18:37:25Z,"vijetmahabaleshwar-okta",262.87,69.85,4191.07
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/32,32,bdemers,2017-12-20T14:46:23Z,2017-12-22T16:45:42Z,8,3,418,56,4,2017-12-20T15:17:19Z,"mraible,bdemers",49.99,0.52,30.93
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/34,34,bdemers,2018-01-23T21:58:13Z,2018-03-16T18:28:17Z,2,1,18,17,1,2018-03-16T16:02:38Z,"mraible",1244.5,1242.07,74524.42
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/44,44,bdemers,2018-03-08T15:25:05Z,2018-03-16T21:41:36Z,11,2,729,1,17,2018-03-08T19:55:12Z,"jmelberg-okta,bdemers",198.28,4.5,270.12
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/45,45,bdemers,2018-03-12T18:11:27Z,2018-03-14T17:00:36Z,13,2,88,29,6,2018-03-12T18:42:17Z,"jmelberg-okta,bdemers",46.82,0.51,30.83
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/46,46,bdemers,2018-03-16T20:30:58Z,2018-03-16T22:08:57Z,4,2,58,6,4,2018-03-16T20:32:31Z,"mraible,bdemers,jmelberg-okta",1.63,0.03,1.55
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/47,47,bdemers,2018-03-19T18:07:40Z,2018-03-20T19:19:46Z,1,1,1,1,1,2018-03-19T18:26:36Z,"bretterer",25.2,0.32,18.93
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/48,48,bdemers,2018-04-10T16:46:01Z,2018-04-10T20:59:32Z,11,1,471,84,1,2018-04-10T20:02:06Z,"vijetmahabaleshwar-okta",4.23,3.27,196.08
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/49,49,bdemers,2018-04-10T21:01:06Z,2018-04-10T21:09:45Z,2,1,4,4,1,2018-04-10T21:02:10Z,"vijetmahabaleshwar-okta",0.14,0.02,1.07
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/50,50,bdemers,2018-04-11T16:56:45Z,2018-04-11T17:16:31Z,6,1,50,14,1,2018-04-11T16:57:52Z,"vijetmahabaleshwar-okta",0.33,0.02,1.12
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/58,58,bdemers,2018-05-15T20:55:28Z,2018-05-16T19:06:21Z,23,5,661,31,3,2018-05-16T13:40:37Z,"mraible,bdemers",22.18,16.75,1005.15
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/59,59,bdemers,2018-05-16T19:08:02Z,2018-05-16T20:13:00Z,1,1,1,1,1,2018-05-16T20:06:35Z,"bretterer",1.08,0.98,58.55
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/60,60,bdemers,2018-05-16T19:10:48Z,2018-05-16T20:13:19Z,1,1,0,13,1,2018-05-16T20:07:13Z,"bretterer",1.04,0.94,56.42
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/61,61,bdemers,2018-05-17T15:58:20Z,2018-05-18T15:13:36Z,3,1,10,7,4,2018-05-17T16:00:10Z,"mraible,bdemers",23.25,0.03,1.83
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/62,62,bdemers,2018-05-18T21:09:41Z,2018-05-19T02:23:18Z,1,1,1,1,1,2018-05-18T21:10:40Z,"vijetmahabaleshwar-okta",5.23,0.02,0.98
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/67,67,bdemers,2018-06-11T16:20:27Z,2018-06-13T16:51:53Z,3,1,61,15,1,2018-06-11T20:13:01Z,"mraible",48.52,3.88,232.57
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/68,68,bdemers,2018-06-11T16:29:08Z,2018-06-18T13:38:15Z,1,1,1,1,1,2018-06-18T13:36:37Z,"bretterer",165.15,165.12,9907.48
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/69,69,bdemers,2018-06-13T16:00:07Z,2018-06-26T13:42:57Z,7,2,184,13,1,2018-06-25T16:59:45Z,"jmelberg-okta",309.71,288.99,17339.63
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/70,70,bdemers,2018-06-21T18:50:15Z,2018-06-22T16:56:39Z,5,1,1,122,1,2018-06-22T15:43:13Z,"jmelberg-okta",22.11,20.88,1252.97
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/72,72,bdemers,2018-06-26T13:45:16Z,2018-06-26T17:06:51Z,12,1,19,19,1,2018-06-26T13:46:26Z,"bretterer",3.36,0.02,1.17
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/74,74,bdemers,2018-07-02T15:33:32Z,2018-07-02T15:54:52Z,2,1,14,2,1,2018-07-02T15:34:29Z,"bretterer",0.36,0.02,0.95
okta,okta-spring-boot,https://github.com/okta/okta-spring-boot/pull/75,75,bdemers,2018-07-02T16:03:56Z,2018-07-02T16:30:22Z,1,1,1,1,1,2018-07-02T16:29:48Z,"bretterer",0.44,0.43,25.87
